employee_id,department,job_level,hire_date,annual_salary_usd,performance_score
E0001,Sales,IC,2018-11-04,156000,3.6
E0002,Ops,Lead,2024-08-29,60000,3.1
E0003,HR,Manager,2021-03-04,70000,4.2
E0004,Legal,Director,2020-12-19,102000,3.6
E0005,Sales,Senior IC,2024-02-09,120000,4.6
E0006,Engineering,Senior IC,2018-10-20,130000,4.0
E0007,Marketing,Manager,2024-05-20,83000,3.7
E0008,HR,Manager,2021-05-30,121000,3.8
E0009,Ops,IC,2023-07-16,62000,4.7
E0010,Finance,Lead,2021-08-13,58000,2.7
E0011,Finance,IC,2024-06-14,120000,3.9
E0012,Ops,Director,2019-12-19,165000,4.8
E0013,Finance,Manager,2020-01-14,177000,4.9
E0014,Marketing,Manager,2023-04-10,137000,3.3
E0015,Legal,Senior IC,2019-03-05,136000,3.5
E0016,Marketing,Manager,2023-07-23,192000,2.6
E0017,Marketing,Lead,2018-12-27,134000,2.8
E0018,Legal,Director,2022-07-14,52000,4.1
E0019,Ops,Manager,2024-02-01,65000,3.0
E0020,Finance,Manager,2022-01-21,165000,4.4
E0021,Marketing,Director,2020-04-13,85000,4.8
E0022,HR,Manager,2022-11-30,83000,2.6
E0023,Legal,Senior IC,2024-10-29,92000,3.3
E0024,Finance,Manager,2018-02-26,75000,3.1
E0025,Ops,IC,2019-04-10,91000,3.7
E0026,Finance,Lead,2021-04-10,158000,4.6
E0027,Sales,Manager,2023-04-19,193000,2.9
E0028,Finance,Director,2020-02-20,86000,4.7
E0029,Legal,Manager,2021-02-05,139000,4.8
E0030,Marketing,IC,2023-09-11,124000,4.3
E0031,Finance,Manager,2024-08-01,90000,3.6
E0032,Marketing,Lead,2023-06-07,193000,4.4
E0033,Ops,Lead,2022-03-26,100000,5.0
E0034,Finance,Manager,2020-09-05,111000,4.6
E0035,Engineering,Lead,2022-08-10,173000,4.3
E0036,Ops,Senior IC,2022-04-11,178000,4.9
E0037,Finance,Director,2019-06-02,136000,4.7
E0038,Engineering,Director,2022-12-09,168000,2.5
E0039,Ops,Senior IC,2019-08-14,71000,3.7
E0040,Marketing,Director,2020-12-21,153000,4.1
E0041,Legal,Director,2021-09-07,149000,4.9
E0042,Legal,Director,2023-06-22,61000,4.0
E0043,HR,Lead,2020-08-19,110000,4.4
E0044,Engineering,IC,2022-11-13,165000,2.9
E0045,Engineering,IC,2021-05-11,135000,4.5
E0046,Marketing,Lead,2021-04-16,162000,2.9
E0047,Ops,Director,2023-12-16,98000,2.9
E0048,Finance,Manager,2018-11-20,113000,3.7
E0049,Sales,Senior IC,2024-07-16,170000,4.1
E0050,Marketing,IC,2023-02-26,171000,4.8
E0051,Sales,IC,2024-02-17,165000,4.9
E0052,Marketing,Manager,2024-08-03,116000,3.6
E0053,Sales,Manager,2021-05-22,175000,2.8
E0054,Finance,Lead,2022-04-12,127000,5.0
E0055,Engineering,Manager,2021-04-24,122000,2.5
E0056,Finance,Manager,2018-07-20,125000,4.4
E0057,Finance,Lead,2020-07-31,108000,4.1
E0058,HR,Senior IC,2020-10-23,76000,4.8
E0059,Marketing,Manager,2018-06-11,60000,3.9
E0060,Engineering,Lead,2019-06-23,135000,4.4
E0061,Sales,Senior IC,2019-12-21,190000,4.7
E0062,Finance,Director,2022-02-07,121000,4.6
